sourceIndex,id,type,region_class,parentRegionId,color,boundingWidthMm,boundingHeightMm,centerXMm,centerYMm,areaMm2,stitch_type,density,pull_compensation,angle,underlay,recommended_underlay.enabled,recommended_underlay.type,recommended_underlay.density_mm,priority,layer_order,travelOrder,pathPointCount,contourPointCount
0,r_nwqdg3s,fill,,,#888888,5.985,17.434,72.965,31.942,68.33,fill,0.4,0.208,45,true,true,edge_walk_zigzag,0.76,4,,1,244,
1,r_w1gvj3y,fill,,,#888888,4.973,13.954,56.938,68.969,63.77,fill,0.4,0.205,90,true,true,edge_walk_zigzag,0.76,4,,2,206,
2,r_22xf73s,fill,,,#888888,6.933,13.953,72.948,68.968,86.1,fill,0.4,0.205,89,true,true,edge_walk_zigzag,0.76,4,,3,222,
3,r_xzelwhe,fill,,,#888888,8.984,13.958,89.99,68.965,107.25,fill,0.4,0.205,88,true,true,edge_walk_zigzag,0.76,4,,4,232,
4,r_0csdkzj,fill,,,#888888,7.906,13.638,89.94,49.974,66.18,fill,0.4,0.204,91,true,true,edge_walk_zigzag,0.76,4,,5,183,
5,r_gbyov3p,fill,,,#888888,7.178,18.962,89.99,31.928,98.98,fill,0.4,0.206,45,true,true,edge_walk_zigzag,0.76,4,,6,264,
6,r_zr65703,fill,,,#888888,8.008,16.019,92.92,12.942,127.54,fill,0.4,0.205,89,true,true,zigzag,0.95,4,,7,279,
7,r_c92bxh3,fill,,,#888888,6.055,16.019,79.931,12.942,96.48,fill,0.4,0.205,89,true,true,edge_walk_zigzag,0.76,4,,8,259,
8,r_ecj9hl4,fill,,,#888888,4.004,16.018,66.992,12.943,63.72,fill,0.4,0.205,45,true,true,edge_walk_zigzag,0.76,4,,9,239,
9,r_sv7z5qe,fill,,,#888888,3.027,16.013,54.98,12.945,48.17,fill,0.4,0.205,45,true,true,edge_walk_zigzag,0.76,5,,10,229,
10,r_5n49ljm,fill,,,#888888,5.052,16.125,56.939,31.956,45.48,fill,0.4,0.21,45,true,true,edge_walk_zigzag,0.76,5,,11,220,
11,r_wrtsviq,fill,,,#888888,5.957,13.538,72.95,49.928,49.49,fill,0.4,0.203,45,true,true,edge_walk_zigzag,0.76,5,,12,183,
12,r_0qzdn2h,fill,,,#888888,4.493,13.429,56.983,49.956,37.04,fill,0.4,0.202,45,true,true,edge_walk,0,5,,13,165,
13,r_gkr8yg0,fill,,,#888888,3.506,13.957,40.968,68.962,46.01,fill,0.4,0.205,45,true,true,edge_walk_zigzag,0.76,5,,14,198,
14,r_c3il6qx,fill,,,#888888,2.538,13.962,24.951,68.965,33.89,fill,0.4,0.204,45,true,true,edge_walk,0,5,,15,190,
15,r_36yb4mo,fill,,,#888888,2.93,13.219,40.967,49.963,24.68,fill,0.4,0.202,45,true,true,edge_walk,0,5,,16,172,
16,r_t4dxwiv,fill,,,#888888,4.559,15.318,40.926,31.943,30.14,fill,0.4,0.211,45,true,true,edge_walk,0,5,,17,208,
17,r_twns37f,fill,,,#888888,3.858,14.458,24.957,31.922,14.81,fill,0,0,174,false,false,,0,9,,23,194,
18,r_qcby589,fill,,,#888888,3.614,14.131,8.954,31.95,7.46,fill,0,0,174,false,false,,0,9,,24,192,
19,r_arf2a9x,fill,,,#888888,0.977,11.868,8.936,49.964,7.93,fill,0,0,45,false,false,,0,9,,25,146,
20,r_gl3kar5,fill,,,#888888,1.563,13.958,8.936,68.968,21.1,fill,0,0,45,false,false,,0,9,,26,178,
21,r_lpgp3rv,fill,,,#888888,1.953,12.845,24.951,49.963,16.31,fill,0,0,45,false,false,,0,9,,27,158,
22,r_zbgef31,fill,,,#888888,0.489,16,6.934,12.946,7.75,fill,0,0,45,false,false,,0,10,,28,203,
23,r_jtzwq22,fill,,,#888888,1.074,16.006,18.945,12.949,16.44,fill,0,0,45,false,false,,0,10,,29,207,
24,r_1hisntc,fill,,,#888888,1.464,16.008,30.957,12.947,23.32,fill,0,0,45,false,false,,0,10,,30,213,
25,r_awf2xwc,fill,,,#888888,2.051,16.01,42.968,12.946,32.16,fill,0,0,45,false,false,,0,10,,31,217,
